[2026-03-30 15:48:48] [INFO    ] discord.client: logging in using static token
[2026-03-30 15:48:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-30 15:48:48] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-30 15:48:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1487450682545148035', 'username': 'Sublime', 'avatar': '5b1a3d9b9ce70e629cc6313f0d081d33', 'discriminator': '6233', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '25b862220ed31fc8e4c0121a76b2085e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-30 15:48:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-30 15:48:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-30 15:48:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1487450682545148035', 'name': 'Sublime', 'icon': '5b1a3d9b9ce70e629cc6313f0d081d33', 'description': '', 'type': None, 'bot': {'id': '1487450682545148035', 'username': 'Sublime', 'avatar': '5b1a3d9b9ce70e629cc6313f0d081d33', 'discriminator': '6233', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '25b862220ed31fc8e4c0121a76b2085e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '0ebb0bd8d9ce613360438e8315d8516d374f779f8a92f5b47e75c4278c0f5aed', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '488329679972073516', 'username': 's3r3n1ty._.', 'avatar': '3e1a6dd6df7b05a8a2350fff83f1cb37', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 3749439, 'global_name': 'Nashatra', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#39363f', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 3, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 4, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-30 15:48:49] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-30 15:48:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-rdx1",{"micros":0.0}]']}}
[2026-03-30 15:48:49] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-30 15:48:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
